# time  created  delivered  delivered/created
3601.0000 1 0 0.0000
3602.0000 2 0 0.0000
3603.0000 3 0 0.0000
3604.0000 4 0 0.0000
3605.0000 5 0 0.0000
3606.0000 6 0 0.0000
3607.0000 7 0 0.0000
3608.0000 8 0 0.0000
3609.0000 9 0 0.0000
3609.0000 9 1 0.1111
3610.0000 10 1 0.1000
3611.0000 11 1 0.0909
3612.0000 12 1 0.0833
3613.0000 13 1 0.0769
3614.0000 14 1 0.0714
3615.0000 15 1 0.0667
3616.0000 16 1 0.0625
3617.0000 17 1 0.0588
3618.0000 18 1 0.0556
3619.0000 19 1 0.0526
3620.0000 20 1 0.0500
3621.0000 21 1 0.0476
3622.0000 22 1 0.0455
3623.0000 23 1 0.0435
3624.0000 24 1 0.0417
3625.0000 25 1 0.0400
3626.0000 26 1 0.0385
3627.0000 27 1 0.0370
3628.0000 28 1 0.0357
3628.0000 28 2 0.0714
3629.0000 29 2 0.0690
3630.0000 30 2 0.0667
3631.0000 31 2 0.0645
3632.0000 32 2 0.0625
3633.0000 33 2 0.0606
3634.0000 34 2 0.0588
3635.0000 35 2 0.0571
3636.0000 36 2 0.0556
3637.0000 37 2 0.0541
3638.0000 38 2 0.0526
3639.0000 39 2 0.0513
3640.0000 40 2 0.0500
3641.0000 41 2 0.0488
3642.0000 42 2 0.0476
3643.0000 43 2 0.0465
3644.0000 44 2 0.0455
3645.0000 45 2 0.0444
3646.0000 46 2 0.0435
3647.0000 47 2 0.0426
3648.0000 48 2 0.0417
3649.0000 49 2 0.0408
3650.0000 50 2 0.0400
3651.0000 51 2 0.0392
3652.0000 52 2 0.0385
3653.0000 53 2 0.0377
3654.0000 54 2 0.0370
3655.0000 55 2 0.0364
3656.0000 56 2 0.0357
3657.0000 57 2 0.0351
3658.0000 58 2 0.0345
3659.0000 59 2 0.0339
3659.0000 59 3 0.0508
3660.0000 60 3 0.0500
3661.0000 61 3 0.0492
3662.0000 62 3 0.0484
3663.0000 63 3 0.0476
3664.0000 64 3 0.0469
3665.0000 65 3 0.0462
3666.0000 66 3 0.0455
3666.5000 66 4 0.0606
3667.0000 67 4 0.0597
3668.0000 68 4 0.0588
3669.0000 69 4 0.0580
3670.0000 70 4 0.0571
3671.0000 71 4 0.0563
3672.0000 72 4 0.0556
3673.0000 73 4 0.0548
3674.0000 74 4 0.0541
3675.0000 75 4 0.0533
3676.0000 76 4 0.0526
3677.0000 77 4 0.0519
3678.0000 78 4 0.0513
3679.0000 79 4 0.0506
3680.0000 80 4 0.0500
3680.5000 80 5 0.0625
3681.0000 81 5 0.0617
3682.0000 82 5 0.0610
3683.0000 83 5 0.0602
3684.0000 84 5 0.0595
3685.0000 85 5 0.0588
3686.0000 86 5 0.0581
